#E/Ry      E-EF/eV    n_doped/cm-3   logn/cm-3      S/VK-1     sigma_t/Sm-1s-1 log_sigma_t/Sm-1s-1 kappael_t/Wm-1K-1s-1 log_kappael_t/Wm-1K-1s-1 mstar/me  
0.454190 0.230935 4.461890e+16 16.649519 -4.615610e-05 1.345445e+18 18.128866 2.327229e+14 14.366839 0.149498
0.454390 0.233656 2.616357e+17 17.417697 -5.807069e-05 1.363478e+18 18.134648 2.312165e+14 14.364019 0.144884
0.454590 0.236377 4.782079e+17 17.679617 -6.952719e-05 1.383262e+18 18.140904 2.298426e+14 14.361430 0.140712
0.454790 0.239098 6.949283e+17 17.841940 -8.050884e-05 1.404803e+18 18.147616 2.285988e+14 14.359074 0.136937
0.454990 0.241820 9.119451e+17 17.959969 -9.100286e-05 1.428111e+18 18.154762 2.274829e+14 14.356949 0.133517
0.455190 0.244541 1.129407e+18 18.052850 -1.010002e-04 1.453194e+18 18.162324 2.264928e+14 14.355054 0.130416
0.455390 0.247262 1.347906e+18 18.129660 -1.104956e-04 1.480064e+18 18.170281 2.256263e+14 14.353390 0.127605
0.455590 0.249983 1.567443e+18 18.195192 -1.194868e-04 1.508733e+18 18.178612 2.248813e+14 14.351953 0.125055
0.455790 0.252704 1.788462e+18 18.252480 -1.279750e-04 1.539213e+18 18.187299 2.242558e+14 14.350744 0.122742
0.455990 0.255425 2.011112e+18 18.303436 -1.359640e-04 1.571518e+18 18.196319 2.237478e+14 14.349759 0.120644
0.456190 0.258146 2.235689e+18 18.349411 -1.434602e-04 1.605664e+18 18.205655 2.233551e+14 14.348996 0.118743
0.456390 0.260868 2.462637e+18 18.391400 -1.504724e-04 1.641665e+18 18.215285 2.230760e+14 14.348453 0.117021
0.456590 0.263589 2.691958e+18 18.430068 -1.570111e-04 1.679540e+18 18.225190 2.229085e+14 14.348127 0.115463
0.456790 0.266310 2.924095e+18 18.465991 -1.630886e-04 1.719304e+18 18.235353 2.228508e+14 14.348014 0.114056
0.456990 0.269031 3.159196e+18 18.499577 -1.687186e-04 1.760976e+18 18.245753 2.229009e+14 14.348112 0.112786
0.457190 0.271752 3.397559e+18 18.531167 -1.739159e-04 1.804574e+18 18.256375 2.230572e+14 14.348416 0.111644
0.457390 0.274473 3.639628e+18 18.561057 -1.786962e-04 1.850119e+18 18.267200 2.233178e+14 14.348923 0.110619
0.457590 0.277194 3.885402e+18 18.589436 -1.830759e-04 1.897630e+18 18.278212 2.236811e+14 14.349629 0.109702
0.457790 0.279916 4.135327e+18 18.616510 -1.870719e-04 1.947128e+18 18.289394 2.241454e+14 14.350530 0.108885
0.457990 0.282637 4.389551e+18 18.642420 -1.907014e-04 1.998633e+18 18.300733 2.247091e+14 14.351621 0.108161
0.458190 0.285358 4.648370e+18 18.667301 -1.939816e-04 2.052167e+18 18.312213 2.253706e+14 14.352897 0.107522
0.458390 0.288079 4.912081e+18 18.691266 -1.969298e-04 2.107752e+18 18.323820 2.261284e+14 14.354355 0.106964
0.458590 0.290800 5.180981e+18 18.714412 -1.995632e-04 2.165410e+18 18.335540 2.269809e+14 14.355989 0.106480
0.458790 0.293521 5.455217e+18 18.736812 -2.018987e-04 2.225162e+18 18.347362 2.279267e+14 14.357795 0.106066
0.458990 0.296242 5.735234e+18 18.758551 -2.039528e-04 2.287033e+18 18.359272 2.289644e+14 14.359768 0.105716
0.459190 0.298963 6.021032e+18 18.779671 -2.057418e-04 2.351043e+18 18.371261 2.300927e+14 14.361903 0.105427
0.459390 0.301685 6.313056e+18 18.800240 -2.072814e-04 2.417217e+18 18.383316 2.313102e+14 14.364195 0.105195
0.459590 0.304406 6.611602e+18 18.820307 -2.085867e-04 2.485577e+18 18.395427 2.326156e+14 14.366639 0.105016
0.459790 0.307127 6.916819e+18 18.839906 -2.096725e-04 2.556147e+18 18.407586 2.340077e+14 14.369230 0.104888
0.459990 0.309848 7.229151e+18 18.859087 -2.105529e-04 2.628948e+18 18.419782 2.354854e+14 14.371964 0.104807
0.460190 0.312569 7.548599e+18 18.877866 -2.112413e-04 2.704005e+18 18.432008 2.370474e+14 14.374835 0.104771
0.460390 0.315290 7.875755e+18 18.896292 -2.117507e-04 2.781341e+18 18.444254 2.386928e+14 14.377839 0.104777
0.460590 0.318011 8.210619e+18 18.914376 -2.120934e-04 2.860977e+18 18.456514 2.404204e+14 14.380971 0.104824
0.460790 0.320733 8.553488e+18 18.932143 -2.122811e-04 2.942937e+18 18.468781 2.422292e+14 14.384227 0.104908
0.460990 0.323454 8.904806e+18 18.949624 -2.123249e-04 3.027244e+18 18.481047 2.441184e+14 14.387601 0.105029
0.461190 0.326175 9.264574e+18 18.966825 -2.122354e-04 3.113919e+18 18.493307 2.460869e+14 14.391089 0.105184
0.461390 0.328896 9.633384e+18 18.983779 -2.120226e-04 3.202986e+18 18.505555 2.481340e+14 14.394686 0.105372
0.461590 0.331617 1.001138e+19 19.000494 -2.116958e-04 3.294465e+18 18.517785 2.502587e+14 14.398389 0.105592
0.461790 0.334338 1.039872e+19 19.016980 -2.112639e-04 3.388378e+18 18.529992 2.524604e+14 14.402193 0.105841
0.461990 0.337059 1.079570e+19 19.033251 -2.107354e-04 3.484748e+18 18.542171 2.547383e+14 14.406094 0.106120
0.462190 0.339781 1.120275e+19 19.049325 -2.101181e-04 3.583595e+18 18.554319 2.570917e+14 14.410088 0.106427
0.462390 0.342502 1.162018e+19 19.065213 -2.094193e-04 3.684939e+18 18.566430 2.595200e+14 14.414171 0.106760
0.462590 0.345223 1.204799e+19 19.080915 -2.086461e-04 3.788802e+18 18.578502 2.620226e+14 14.418339 0.107120
0.462790 0.347944 1.248662e+19 19.096445 -2.078049e-04 3.895202e+18 18.590530 2.645990e+14 14.422588 0.107504
0.462990 0.350665 1.293637e+19 19.111812 -2.069017e-04 4.004162e+18 18.602512 2.672485e+14 14.426915 0.107913
0.463190 0.353386 1.339753e+19 19.127025 -2.059425e-04 4.115698e+18 18.614443 2.699709e+14 14.431317 0.108345
0.463390 0.356107 1.387040e+19 19.142089 -2.049323e-04 4.229831e+18 18.626323 2.727656e+14 14.435790 0.108800
0.463590 0.358829 1.435513e+19 19.157007 -2.038763e-04 4.346579e+18 18.638148 2.756322e+14 14.440330 0.109278
0.463790 0.361550 1.485216e+19 19.171790 -2.027790e-04 4.465960e+18 18.649915 2.785706e+14 14.444935 0.109776
0.463990 0.364271 1.536165e+19 19.186438 -2.016449e-04 4.587993e+18 18.661623 2.815802e+14 14.449602 0.110297
0.464190 0.366992 1.588403e+19 19.200961 -2.004779e-04 4.712695e+18 18.673269 2.846609e+14 14.454328 0.110837
0.464390 0.369713 1.641946e+19 19.215359 -1.992818e-04 4.840083e+18 18.684853 2.878125e+14 14.459110 0.111398
0.464590 0.372434 1.696823e+19 19.229636 -1.980602e-04 4.970174e+18 18.696372 2.910348e+14 14.463945 0.111979
0.464790 0.375155 1.753063e+19 19.243798 -1.968161e-04 5.102985e+18 18.707824 2.943275e+14 14.468831 0.112579
0.464990 0.377877 1.810712e+19 19.257849 -1.955528e-04 5.238532e+18 18.719210 2.976907e+14 14.473765 0.113199
0.465190 0.380598 1.869784e+19 19.271791 -1.942730e-04 5.376830e+18 18.730526 3.011243e+14 14.478746 0.113837
0.465390 0.383319 1.930294e+19 19.285623 -1.929792e-04 5.517896e+18 18.741774 3.046281e+14 14.483770 0.114494
0.465590 0.386040 1.992301e+19 19.299355 -1.916740e-04 5.661745e+18 18.752950 3.082022e+14 14.488836 0.115168
0.465790 0.388761 2.055820e+19 19.312985 -1.903595e-04 5.808391e+18 18.764056 3.118466e+14 14.493941 0.115861
0.465990 0.391482 2.120895e+19 19.326519 -1.890378e-04 5.957849e+18 18.775089 3.155613e+14 14.499084 0.116572
0.466190 0.394203 2.187527e+19 19.339953 -1.877109e-04 6.110134e+18 18.786051 3.193465e+14 14.504262 0.117300
0.466390 0.396925 2.255760e+19 19.353293 -1.863804e-04 6.265259e+18 18.796939 3.232022e+14 14.509474 0.118045
0.466590 0.399646 2.325638e+19 19.366542 -1.850481e-04 6.423240e+18 18.807754 3.271286e+14 14.514719 0.118808
0.466790 0.402367 2.397162e+19 19.379697 -1.837154e-04 6.584089e+18 18.818496 3.311259e+14 14.519993 0.119588
0.466990 0.405088 2.470390e+19 19.392766 -1.823837e-04 6.747820e+18 18.829163 3.351942e+14 14.525296 0.120384
0.467190 0.407809 2.545353e+19 19.405748 -1.810543e-04 6.914447e+18 18.839757 3.393337e+14 14.530627 0.121197
