#E/Ry      E-EF/eV    n_doped/cm-3   logn/cm-3      S/VK-1     sigma_t/Sm-1s-1 log_sigma_t/Sm-1s-1 kappael_t/Wm-1K-1s-1 log_kappael_t/Wm-1K-1s-1 mstar/me  
0.450590 0.181954 1.497179e+16 16.175274 -2.085014e-04 3.505059e+16 16.544695 5.432502e+12 12.735000 0.088187
0.450790 0.184676 2.104945e+16 16.323241 -2.388487e-04 3.651013e+16 16.562413 5.481220e+12 12.738877 0.082170
0.450990 0.187397 2.742358e+16 16.438124 -2.661208e-04 3.819226e+16 16.581975 5.546840e+12 12.744046 0.077337
0.451190 0.190118 3.379771e+16 16.528887 -2.903195e-04 4.010666e+16 16.603216 5.629296e+12 12.750454 0.073416
0.451390 0.192839 4.046831e+16 16.607115 -3.115157e-04 4.226434e+16 16.625974 5.728552e+12 12.758045 0.070209
0.451590 0.195560 4.728714e+16 16.674743 -3.298341e-04 4.467767e+16 16.650090 5.844600e+12 12.766755 0.067568
0.451790 0.198281 5.455068e+16 16.736800 -3.454391e-04 4.736041e+16 16.675415 5.977455e+12 12.776516 0.065382
0.451990 0.201002 6.196246e+16 16.792129 -3.585214e-04 5.032779e+16 16.701808 6.127159e+12 12.787259 0.063565
0.452190 0.203724 6.981895e+16 16.843973 -3.692863e-04 5.359659e+16 16.729137 6.293773e+12 12.798911 0.062050
0.452390 0.206445 7.812014e+16 16.892763 -3.779446e-04 5.718516e+16 16.757283 6.477378e+12 12.811399 0.060784
0.452590 0.209166 8.686603e+16 16.938850 -3.847050e-04 6.111350e+16 16.786137 6.678072e+12 12.824651 0.059725
0.452790 0.211887 9.620487e+16 16.983197 -3.897691e-04 6.540339e+16 16.815600 6.895969e+12 12.838595 0.058837
0.452990 0.214608 1.059884e+17 17.025258 -3.933274e-04 7.007838e+16 16.845584 7.131194e+12 12.853162 0.058093
0.453190 0.217329 1.165131e+17 17.066375 -3.955569e-04 7.516392e+16 16.876009 7.383884e+12 12.868285 0.057471
