#E/Ry      E-EF/eV    n_doped/cm-3   logn/cm-3      S/VK-1     sigma_t/Sm-1s-1 log_sigma_t/Sm-1s-1 kappael_t/Wm-1K-1s-1 log_kappael_t/Wm-1K-1s-1 mstar/me  
0.451190 0.190118 1.512003e+16 16.179553 -1.161750e-04 1.309336e+17 17.117051 2.109067e+13 13.324090 0.106947
0.451390 0.192839 3.809654e+16 16.580885 -1.404318e-04 1.344627e+17 17.128602 2.104667e+13 13.323183 0.100583
0.451590 0.195560 6.136952e+16 16.787953 -1.630326e-04 1.385018e+17 17.141455 2.104086e+13 13.323063 0.095247
0.451790 0.198281 8.464250e+16 16.927588 -1.839160e-04 1.430637e+17 17.155530 2.107262e+13 13.323718 0.090743
0.451990 0.201002 1.083602e+17 17.034870 -2.030536e-04 1.481632e+17 17.170740 2.114137e+13 13.325133 0.086921
0.452190 0.203724 1.323743e+17 17.121804 -2.204461e-04 1.538165e+17 17.187003 2.124658e+13 13.327289 0.083663
0.452390 0.206445 1.568332e+17 17.195438 -2.361201e-04 1.600416e+17 17.204233 2.138774e+13 13.330165 0.080875
0.452590 0.209166 1.818850e+17 17.259797 -2.501232e-04 1.668583e+17 17.222348 2.156434e+13 13.333736 0.078483
0.452790 0.211887 2.075298e+17 17.317080 -2.625202e-04 1.742878e+17 17.241267 2.177593e+13 13.337977 0.076425
0.452990 0.214608 2.340639e+17 17.369335 -2.733884e-04 1.823535e+17 17.260914 2.202205e+13 13.342858 0.074652
0.453190 0.217329 2.613393e+17 17.417205 -2.828148e-04 1.910801e+17 17.281216 2.230229e+13 13.348349 0.073123
0.453390 0.220050 2.896523e+17 17.461877 -2.908917e-04 2.004944e+17 17.302102 2.261622e+13 13.354420 0.071803
0.453590 0.222772 3.188547e+17 17.503593 -2.977146e-04 2.106247e+17 17.323509 2.296346e+13 13.361037 0.070664
0.453790 0.225493 3.493912e+17 17.543312 -3.033798e-04 2.215013e+17 17.345376 2.334362e+13 13.368168 0.069681
0.453990 0.228214 3.809654e+17 17.580885 -3.079819e-04 2.331561e+17 17.367647 2.375631e+13 13.375779 0.068835
0.454190 0.230935 4.140219e+17 17.617023 -3.116130e-04 2.456229e+17 17.390269 2.420117e+13 13.383836 0.068108
0.454390 0.233656 4.485608e+17 17.651821 -3.143614e-04 2.589372e+17 17.413194 2.467783e+13 13.392307 0.067485
0.454590 0.236377 4.845820e+17 17.685367 -3.163108e-04 2.731364e+17 17.436380 2.518594e+13 13.401158 0.066953
0.454790 0.239098 5.223821e+17 17.717988 -3.175397e-04 2.882594e+17 17.459784 2.572514e+13 13.410358 0.066503
0.454990 0.241820 5.621092e+17 17.749821 -3.181213e-04 3.043472e+17 17.483369 2.629506e+13 13.419874 0.066124
0.455190 0.244541 6.036152e+17 17.780760 -3.181235e-04 3.214422e+17 17.507103 2.689534e+13 13.429677 0.065808
0.455390 0.247262 6.473447e+17 17.811136 -3.176088e-04 3.395885e+17 17.530953 2.752562e+13 13.439737 0.065549
0.455590 0.249983 6.931494e+17 17.840827 -3.166344e-04 3.588319e+17 17.554891 2.818554e+13 13.450026 0.065341
0.455790 0.252704 7.414742e+17 17.870096 -3.152525e-04 3.792200e+17 17.578891 2.887472e+13 13.460518 0.065178
0.455990 0.255425 7.921708e+17 17.898819 -3.135106e-04 4.008014e+17 17.602929 2.959279e+13 13.471186 0.065057
0.456190 0.258146 8.456838e+17 17.927208 -3.114520e-04 4.236265e+17 17.626983 3.033937e+13 13.482007 0.064973
0.456390 0.260868 9.018651e+17 17.955142 -3.091155e-04 4.477470e+17 17.651033 3.111406e+13 13.492957 0.064923
0.456590 0.263589 9.610111e+17 17.982728 -3.065364e-04 4.732157e+17 17.675059 3.191647e+13 13.504015 0.064904
0.456790 0.266310 1.023418e+18 18.010053 -3.037465e-04 5.000869e+17 17.699045 3.274622e+13 13.515161 0.064914
0.456990 0.269031 1.088938e+18 18.037003 -3.007742e-04 5.284155e+17 17.722976 3.360289e+13 13.526377 0.064951
