#E/Ry     ,E-EF/eV   ,n_doped/cm-3  ,logn/cm-3     ,S/VK-1    ,sigma_t/Sm-1s-1,log_sigma_t/Sm-1s-1,kappael_t/Wm-1K-1s-1,log_kappael_t/Wm-1K-1s-1,mstar/me  
0.176990,-3.540565,7.996399e+22,22.902894,-2.683996e-05,4.283023e+20,20.631750,8.492275e+15,15.929024,-0.960668
0.177190,-3.537843,7.992410e+22,22.902678,-2.677093e-05,4.299066e+20,20.633374,8.523139e+15,15.930600,-0.961178
0.177390,-3.535122,7.988412e+22,22.902460,-2.670221e-05,4.315127e+20,20.634994,8.554037e+15,15.932171,-0.961694
0.177590,-3.532401,7.984403e+22,22.902242,-2.663378e-05,4.331206e+20,20.636609,8.584969e+15,15.933739,-0.962215
0.177790,-3.529680,7.980384e+22,22.902024,-2.656564e-05,4.347304e+20,20.638220,8.615934e+15,15.935302,-0.962742
0.177990,-3.526959,7.976356e+22,22.901805,-2.649780e-05,4.363420e+20,20.639827,8.646932e+15,15.936862,-0.963273
0.178190,-3.524238,7.972317e+22,22.901585,-2.643026e-05,4.379555e+20,20.641430,8.677963e+15,15.938418,-0.963811
0.178390,-3.521517,7.968268e+22,22.901364,-2.636300e-05,4.395708e+20,20.643029,8.709026e+15,15.939970,-0.964354
0.178590,-3.518795,7.964209e+22,22.901143,-2.629604e-05,4.411879e+20,20.644624,8.740122e+15,15.941517,-0.964903
0.178790,-3.516074,7.960139e+22,22.900921,-2.622936e-05,4.428069e+20,20.646214,8.771249e+15,15.943061,-0.965457
0.178990,-3.513353,7.956060e+22,22.900698,-2.616296e-05,4.444276e+20,20.647801,8.802408e+15,15.944601,-0.966018
0.179190,-3.510632,7.951970e+22,22.900475,-2.609685e-05,4.460502e+20,20.649384,8.833597e+15,15.946138,-0.966585
0.179390,-3.507911,7.947869e+22,22.900251,-2.603102e-05,4.476747e+20,20.650963,8.864818e+15,15.947670,-0.967158
0.179590,-3.505190,7.943758e+22,22.900026,-2.596547e-05,4.493009e+20,20.652537,8.896069e+15,15.949198,-0.967737
0.179790,-3.502469,7.939637e+22,22.899801,-2.590019e-05,4.509289e+20,20.654108,8.927349e+15,15.950723,-0.968323
0.179990,-3.499747,7.935505e+22,22.899575,-2.583519e-05,4.525587e+20,20.655675,8.958660e+15,15.952243,-0.968915
0.180190,-3.497026,7.931362e+22,22.899348,-2.577047e-05,4.541903e+20,20.657238,8.989999e+15,15.953760,-0.969514
0.180390,-3.494305,7.927209e+22,22.899120,-2.570601e-05,4.558237e+20,20.658797,9.021367e+15,15.955272,-0.970119
0.180590,-3.491584,7.923045e+22,22.898892,-2.564182e-05,4.574590e+20,20.660352,9.052763e+15,15.956781,-0.970732
0.180790,-3.488863,7.918871e+22,22.898663,-2.557790e-05,4.590960e+20,20.661903,9.084188e+15,15.958286,-0.971351
0.180990,-3.486142,7.914685e+22,22.898434,-2.551423e-05,4.607347e+20,20.663451,9.115639e+15,15.959787,-0.971978
0.181190,-3.483421,7.910488e+22,22.898203,-2.545083e-05,4.623753e+20,20.664995,9.147118e+15,15.961284,-0.972611
0.181390,-3.480699,7.906281e+22,22.897972,-2.538769e-05,4.640176e+20,20.666534,9.178623e+15,15.962778,-0.973252
0.181590,-3.477978,7.902062e+22,22.897740,-2.532480e-05,4.656617e+20,20.668071,9.210155e+15,15.964267,-0.973901
0.181790,-3.475257,7.897833e+22,22.897508,-2.526217e-05,4.673076e+20,20.669603,9.241712e+15,15.965752,-0.974557
0.181990,-3.472536,7.893592e+22,22.897275,-2.519978e-05,4.689552e+20,20.671131,9.273294e+15,15.967234,-0.975220
0.182190,-3.469815,7.889340e+22,22.897041,-2.513764e-05,4.706047e+20,20.672656,9.304901e+15,15.968712,-0.975892
0.182390,-3.467094,7.885076e+22,22.896806,-2.507574e-05,4.722558e+20,20.674177,9.336532e+15,15.970186,-0.976571
0.182590,-3.464373,7.880801e+22,22.896570,-2.501409e-05,4.739087e+20,20.675695,9.368186e+15,15.971656,-0.977258
0.182790,-3.461651,7.876515e+22,22.896334,-2.495267e-05,4.755634e+20,20.677208,9.399864e+15,15.973122,-0.977953
0.182990,-3.458930,7.872217e+22,22.896097,-2.489149e-05,4.772198e+20,20.678718,9.431565e+15,15.974584,-0.978657
0.183190,-3.456209,7.867908e+22,22.895859,-2.483053e-05,4.788780e+20,20.680225,9.463287e+15,15.976042,-0.979369
0.183390,-3.453488,7.863587e+22,22.895621,-2.476981e-05,4.805379e+20,20.681728,9.495031e+15,15.977496,-0.980089
0.183590,-3.450767,7.859254e+22,22.895381,-2.470931e-05,4.821995e+20,20.683227,9.526797e+15,15.978947,-0.980818
0.183790,-3.448046,7.854909e+22,22.895141,-2.464904e-05,4.838628e+20,20.684722,9.558582e+15,15.980393,-0.981556
0.183990,-3.445325,7.850552e+22,22.894900,-2.458898e-05,4.855279e+20,20.686214,9.590388e+15,15.981836,-0.982303
0.184190,-3.442603,7.846183e+22,22.894658,-2.452914e-05,4.871947e+20,20.687703,9.622212e+15,15.983275,-0.983059
0.184390,-3.439882,7.841802e+22,22.894416,-2.446951e-05,4.888633e+20,20.689187,9.654056e+15,15.984710,-0.983824
0.184590,-3.437161,7.837408e+22,22.894172,-2.441010e-05,4.905335e+20,20.690669,9.685918e+15,15.986141,-0.984598
0.184790,-3.434440,7.833002e+22,22.893928,-2.435088e-05,4.922055e+20,20.692146,9.717797e+15,15.987568,-0.985382
0.184990,-3.431719,7.828584e+22,22.893683,-2.429187e-05,4.938791e+20,20.693621,9.749693e+15,15.988991,-0.986176
0.185190,-3.428998,7.824153e+22,22.893437,-2.423306e-05,4.955544e+20,20.695091,9.781605e+15,15.990410,-0.986979
0.185390,-3.426277,7.819710e+22,22.893191,-2.417444e-05,4.972315e+20,20.696559,9.813533e+15,15.991825,-0.987792
0.185590,-3.423556,7.815253e+22,22.892943,-2.411601e-05,4.989102e+20,20.698022,9.845476e+15,15.993237,-0.988616
0.185790,-3.420834,7.810784e+22,22.892695,-2.405778e-05,5.005907e+20,20.699483,9.877432e+15,15.994644,-0.989449
0.185990,-3.418113,7.806302e+22,22.892445,-2.399972e-05,5.022728e+20,20.700940,9.909403e+15,15.996047,-0.990294
0.186190,-3.415392,7.801807e+22,22.892195,-2.394185e-05,5.039565e+20,20.702393,9.941386e+15,15.997447,-0.991148
0.186390,-3.412671,7.797298e+22,22.891944,-2.388416e-05,5.056420e+20,20.703843,9.973381e+15,15.998842,-0.992014
0.186590,-3.409950,7.792776e+22,22.891692,-2.382663e-05,5.073291e+20,20.705290,1.000539e+16,16.000234,-0.992890
0.186790,-3.407229,7.788241e+22,22.891439,-2.376928e-05,5.090179e+20,20.706733,1.003740e+16,16.001621,-0.993778
0.186990,-3.404508,7.783691e+22,22.891186,-2.371209e-05,5.107083e+20,20.708173,1.006943e+16,16.003005,-0.994677
0.187190,-3.401786,7.779129e+22,22.890931,-2.365507e-05,5.124004e+20,20.709609,1.010146e+16,16.004384,-0.995588
