#E/Ry     ,E-EF/eV   ,n_doped/cm-3  ,logn/cm-3     ,S/VK-1    ,sigma_t/Sm-1s-1,log_sigma_t/Sm-1s-1,kappael_t/Wm-1K-1s-1,log_kappael_t/Wm-1K-1s-1,mstar/me  
0.176990,-3.540565,7.998910e+22,22.903031,-2.354516e-05,4.278398e+20,20.631281,7.399444e+15,15.869199,-0.958595
0.177190,-3.537843,7.994933e+22,22.902815,-2.348443e-05,4.294454e+20,20.632908,7.426634e+15,15.870792,-0.959071
0.177390,-3.535122,7.990946e+22,22.902598,-2.342398e-05,4.310528e+20,20.634531,7.453856e+15,15.872381,-0.959553
0.177590,-3.532401,7.986949e+22,22.902381,-2.336381e-05,4.326621e+20,20.636149,7.481112e+15,15.873966,-0.960039
0.177790,-3.529680,7.982942e+22,22.902163,-2.330392e-05,4.342732e+20,20.637763,7.508400e+15,15.875547,-0.960532
0.177990,-3.526959,7.978926e+22,22.901944,-2.324430e-05,4.358861e+20,20.639373,7.535720e+15,15.877125,-0.961029
0.178190,-3.524238,7.974900e+22,22.901725,-2.318497e-05,4.375009e+20,20.640979,7.563072e+15,15.878698,-0.961532
0.178390,-3.521517,7.970863e+22,22.901505,-2.312591e-05,4.391175e+20,20.642581,7.590456e+15,15.880268,-0.962041
0.178590,-3.518795,7.966817e+22,22.901285,-2.306712e-05,4.407359e+20,20.644178,7.617872e+15,15.881834,-0.962556
0.178790,-3.516074,7.962761e+22,22.901064,-2.300861e-05,4.423560e+20,20.645772,7.645319e+15,15.883396,-0.963077
0.178990,-3.513353,7.958695e+22,22.900842,-2.295038e-05,4.439781e+20,20.647362,7.672797e+15,15.884954,-0.963603
0.179190,-3.510632,7.954619e+22,22.900619,-2.289241e-05,4.456019e+20,20.648947,7.700306e+15,15.886508,-0.964136
0.179390,-3.507911,7.950533e+22,22.900396,-2.283471e-05,4.472275e+20,20.650529,7.727846e+15,15.888058,-0.964675
0.179590,-3.505190,7.946436e+22,22.900172,-2.277729e-05,4.488550e+20,20.652106,7.755417e+15,15.889605,-0.965220
0.179790,-3.502469,7.942330e+22,22.899948,-2.272013e-05,4.504842e+20,20.653680,7.783017e+15,15.891148,-0.965771
0.179990,-3.499747,7.938213e+22,22.899723,-2.266323e-05,4.521153e+20,20.655249,7.810648e+15,15.892687,-0.966329
0.180190,-3.497026,7.934086e+22,22.899497,-2.260660e-05,4.537481e+20,20.656815,7.838308e+15,15.894222,-0.966893
0.180390,-3.494305,7.929949e+22,22.899270,-2.255023e-05,4.553827e+20,20.658377,7.865997e+15,15.895754,-0.967464
0.180590,-3.491584,7.925801e+22,22.899043,-2.249412e-05,4.570192e+20,20.659934,7.893715e+15,15.897281,-0.968042
0.180790,-3.488863,7.921643e+22,22.898815,-2.243827e-05,4.586574e+20,20.661488,7.921462e+15,15.898805,-0.968627
0.180990,-3.486142,7.917474e+22,22.898587,-2.238267e-05,4.602974e+20,20.663039,7.949238e+15,15.900325,-0.969218
0.181190,-3.483421,7.913295e+22,22.898357,-2.232733e-05,4.619392e+20,20.664585,7.977041e+15,15.901842,-0.969816
0.181390,-3.480699,7.909105e+22,22.898127,-2.227225e-05,4.635828e+20,20.666127,8.004873e+15,15.903354,-0.970422
0.181590,-3.477978,7.904905e+22,22.897897,-2.221741e-05,4.652281e+20,20.667666,8.032732e+15,15.904863,-0.971034
0.181790,-3.475257,7.900693e+22,22.897665,-2.216282e-05,4.668753e+20,20.669201,8.060619e+15,15.906368,-0.971654
0.181990,-3.472536,7.896471e+22,22.897433,-2.210847e-05,4.685242e+20,20.670732,8.088532e+15,15.907870,-0.972281
0.182190,-3.469815,7.892239e+22,22.897200,-2.205437e-05,4.701749e+20,20.672259,8.116472e+15,15.909367,-0.972916
0.182390,-3.467094,7.887995e+22,22.896967,-2.200051e-05,4.718274e+20,20.673783,8.144439e+15,15.910861,-0.973558
0.182590,-3.464373,7.883740e+22,22.896732,-2.194688e-05,4.734816e+20,20.675303,8.172431e+15,15.912351,-0.974207
0.182790,-3.461651,7.879475e+22,22.896497,-2.189349e-05,4.751376e+20,20.676819,8.200449e+15,15.913838,-0.974865
0.182990,-3.458930,7.875198e+22,22.896261,-2.184034e-05,4.767954e+20,20.678332,8.228493e+15,15.915320,-0.975530
0.183190,-3.456209,7.870910e+22,22.896025,-2.178741e-05,4.784549e+20,20.679841,8.256562e+15,15.916799,-0.976203
0.183390,-3.453488,7.866610e+22,22.895788,-2.173472e-05,4.801163e+20,20.681346,8.284655e+15,15.918274,-0.976885
0.183590,-3.450767,7.862300e+22,22.895550,-2.168224e-05,4.817793e+20,20.682848,8.312773e+15,15.919746,-0.977574
0.183790,-3.448046,7.857978e+22,22.895311,-2.162999e-05,4.834441e+20,20.684346,8.340915e+15,15.921214,-0.978272
0.183990,-3.445325,7.853644e+22,22.895071,-2.157797e-05,4.851107e+20,20.685841,8.369080e+15,15.922678,-0.978978
0.184190,-3.442603,7.849299e+22,22.894831,-2.152615e-05,4.867790e+20,20.687332,8.397269e+15,15.924138,-0.979692
0.184390,-3.439882,7.844942e+22,22.894590,-2.147456e-05,4.884491e+20,20.688819,8.425481e+15,15.925595,-0.980416
0.184590,-3.437161,7.840574e+22,22.894348,-2.142317e-05,4.901208e+20,20.690303,8.453716e+15,15.927048,-0.981148
